DATE,NATIONAL_STATION_CODE,YEAR,MONTH,MM_TOTAL_PRECIP,MIN_YEAR,MAX_YEAR,YEAR_MAX_MIN_DIFF,MM_TOTAL_PRECIP_IS_NULL,WMO_COD,AIRPORT_CODE,STATION_NAME,LATITUDE,LONGITUDE,ELEVATION,REGION,GEOGRAPHIC_ZONE,LATITUDE_OUTLIER,LONGITUDE_OUTLIER,ELEVATION_OUTLIER,ANNUAL_EMISSIONS_CHILE,ANNUAL_EMISSIONS_SOUTH_AMERICA,ANNUAL_EMISSIONS_WORLD
1980-01-01,180005,1980,1,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,25099940.0,508353860.0,19488524000.0
1980-02-01,180005,1980,2,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,25099940.0,508353860.0,19488524000.0
1980-03-01,180005,1980,3,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,25099940.0,508353860.0,19488524000.0
1980-04-01,180005,1980,4,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,25099940.0,508353860.0,19488524000.0
1980-05-01,180005,1980,5,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,25099940.0,508353860.0,19488524000.0
1980-06-01,180005,1980,6,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,25099940.0,508353860.0,19488524000.0
1980-07-01,180005,1980,7,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,25099940.0,508353860.0,19488524000.0
1980-08-01,180005,1980,8,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,25099940.0,508353860.0,19488524000.0
1980-09-01,180005,1980,9,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,25099940.0,508353860.0,19488524000.0
1980-10-01,180005,1980,10,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,25099940.0,508353860.0,19488524000.0
1980-11-01,180005,1980,11,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,25099940.0,508353860.0,19488524000.0
1980-12-01,180005,1980,12,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,25099940.0,508353860.0,19488524000.0
1981-01-01,180005,1981,1,0.4000000059604645,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,24347124.0,489719070.0,19022903000.0
1981-02-01,180005,1981,2,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,24347124.0,489719070.0,19022903000.0
1981-03-01,180005,1981,3,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,24347124.0,489719070.0,19022903000.0
1981-04-01,180005,1981,4,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,24347124.0,489719070.0,19022903000.0
1981-05-01,180005,1981,5,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,24347124.0,489719070.0,19022903000.0
1981-06-01,180005,1981,6,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,24347124.0,489719070.0,19022903000.0
1981-07-01,180005,1981,7,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,24347124.0,489719070.0,19022903000.0
1981-08-01,180005,1981,8,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,24347124.0,489719070.0,19022903000.0
1981-09-01,180005,1981,9,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,24347124.0,489719070.0,19022903000.0
1981-10-01,180005,1981,10,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,24347124.0,489719070.0,19022903000.0
1981-11-01,180005,1981,11,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,24347124.0,489719070.0,19022903000.0
1981-12-01,180005,1981,12,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,24347124.0,489719070.0,19022903000.0
1982-01-01,180005,1982,1,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20475254.0,490869630.0,18871097000.0
1982-02-01,180005,1982,2,1.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20475254.0,490869630.0,18871097000.0
1982-03-01,180005,1982,3,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20475254.0,490869630.0,18871097000.0
1982-04-01,180005,1982,4,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20475254.0,490869630.0,18871097000.0
1982-05-01,180005,1982,5,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20475254.0,490869630.0,18871097000.0
1982-06-01,180005,1982,6,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20475254.0,490869630.0,18871097000.0
1982-07-01,180005,1982,7,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20475254.0,490869630.0,18871097000.0
1982-08-01,180005,1982,8,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20475254.0,490869630.0,18871097000.0
1982-09-01,180005,1982,9,1.100000023841858,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20475254.0,490869630.0,18871097000.0
1982-10-01,180005,1982,10,0.4000000059604645,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20475254.0,490869630.0,18871097000.0
1982-11-01,180005,1982,11,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20475254.0,490869630.0,18871097000.0
1982-12-01,180005,1982,12,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20475254.0,490869630.0,18871097000.0
1983-01-01,180005,1983,1,0.1000000014901161,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20674070.0,485836380.0,18991910000.0
1983-02-01,180005,1983,2,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20674070.0,485836380.0,18991910000.0
1983-03-01,180005,1983,3,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20674070.0,485836380.0,18991910000.0
1983-04-01,180005,1983,4,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20674070.0,485836380.0,18991910000.0
1983-05-01,180005,1983,5,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20674070.0,485836380.0,18991910000.0
1983-06-01,180005,1983,6,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20674070.0,485836380.0,18991910000.0
1983-07-01,180005,1983,7,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20674070.0,485836380.0,18991910000.0
1983-08-01,180005,1983,8,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20674070.0,485836380.0,18991910000.0
1983-09-01,180005,1983,9,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20674070.0,485836380.0,18991910000.0
1983-10-01,180005,1983,10,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20674070.0,485836380.0,18991910000.0
1983-11-01,180005,1983,11,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20674070.0,485836380.0,18991910000.0
1983-12-01,180005,1983,12,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,20674070.0,485836380.0,18991910000.0
1984-01-01,180005,1984,1,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,22004668.0,491463070.0,19647801000.0
1984-02-01,180005,1984,2,0.0,1980,2025,45,False,85406.0,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,51,15,Litoral,True,False,False,22004668.0,491463070.0,19647801000.0
